Species,psychrophilic,mesophilic,thermophilic,aerobe,anaerobe,obligate aerobe,obligate anaerobe,facultative aerobe,facultative anaerobe,microaerophile,aerotolerant
Halodesulfovibrio spirochaetisodalis,0,1,0,0,1,0,1,0,0,0,0
Halodesulfovibrio aestuarii,1,0,0,0,1,0,1,0,0,0,0
Halodesulfovibrio marinisediminis,0,1,0,0,2,0,1,0,0,0,0
Bavariicoccus seileri,0,1,0,0,1,0,0,0,1,1,0
Roseburia faecis,0,1,0,,,,,,,,
Roseburia hominis,0,1,0,,,,,,,,
Roseburia intestinalis,0,1,0,,,,,,,,
Rummeliibacillus pycnus,0,1,0,,,,,,,,
Ensifer glycinis,0,1,0,,,,,,,,
Ensifer alkalisoli,0,1,0,,,,,,,,
Alishewanella jeotgali,0,1,0,1,0,0,0,0,1,0,0
Alishewanella aestuarii,0,1,0,,,,,,,,
Herbidospora mongoliensis,0,1,0,,,,,,,,
Herbidospora yilanensis,0,1,0,,,,,,,,
Herbidospora daliensis,0,1,0,,,,,,,,
Herbidospora sakaeratensis,0,1,0,,,,,,,,
Herbidospora cretacea,0,1,0,,,,,,,,
Thermoanaerobaculum aquaticum,0,1,0,0,2,0,0,0,0,0,0
Andreesenia angusta,0,0,1,0,1,0,1,0,0,0,0
Spiroplasma eriocheiris,0,1,0,,,,,,,,
Arcanobacterium pluranimalium,0,1,0,0,0,0,0,0,1,1,0
Arcanobacterium phocae,0,1,0,,,,,,,,
Arcanobacterium haemolyticum,0,1,0,0,1,0,0,0,1,0,0
Paraphotobacterium marinum,0,1,0,,,,,,,,
Salinispira pacifica,0,1,0,,,,,,,,
Flavonifractor plautii,,,,0,3,0,0,0,0,0,0
Peptostreptococcus russellii,0,1,0,0,2,0,0,0,0,0,0
Peptostreptococcus stomatis,0,1,0,0,3,0,0,0,0,0,0
Peptostreptococcus anaerobius,0,1,0,0,3,0,0,0,0,0,0
Paraliobacillus ryukyuensis,0,1,0,,,,,,,,
Ralstonia mannitolilytica,0,1,0,,,,,,,,
Ralstonia syzygii,0,1,0,,,,,,,,
Ralstonia pickettii,0,1,0,,,,,,,,
Ralstonia solanacearum,0,1,1,,,,,,,,
Ralstonia pseudosolanacearum,0,1,0,,,,,,,,
Sulfolobus acidocaldarius,0,1,0,,,,,,,,
Salisediminibacterium haloalkalitolerans,0,0,1,,,,,,,,
Flammeovirga pacifica,0,1,0,,,,,,,,
Flammeovirga yaeyamensis,0,1,0,,,,,,,,
Gryllotalpicola ginsengisoli,,,,2,0,0,0,0,0,0,0
Umezawaea tangerina,0,1,0,,,,,,,,
Pseudaminobacter arsenicus,0,1,0,,,,,,,,
Pseudaminobacter salicylatoxidans,0,1,0,,,,,,,,
Thalassotalea litorea,0,1,0,2,0,0,0,0,0,0,0
Thalassotalea crassostreae,0,1,0,,,,,,,,
Thalassotalea agarivorans,0,1,0,,,,,,,,
Allokutzneria albata,0,1,0,,,,,,,,
Jonesia denitrificans,0,1,0,0,1,0,0,0,0,1,0
Helicobacter ailurogastricus,0,1,1,,,,,,,,
Helicobacter felis,0,1,0,,,,,,,,
Helicobacter pullorum,0,1,0,,,,,,,,
Helicobacter cynogastricus,0,1,0,,,,,,,,
Helicobacter himalayensis,0,1,0,,,,,,,,
Helicobacter suis,,,,0,1,0,0,0,0,1,0
Helicobacter hepaticus,0,1,0,,,,,,,,
Helicobacter muridarum,0,1,0,0,0,0,0,0,0,2,0
Helicobacter fennelliae,0,1,0,0,0,0,0,0,0,3,0
Helicobacter cinaedi,0,1,0,0,0,0,0,0,0,2,0
Acetoanaerobium noterae,0,1,0,,,,,,,,
Acetoanaerobium sticklandii,0,1,0,,,,,,,,
Sinosporangium album,,,,2,0,0,0,0,0,0,0
Megasphaera massiliensis,0,1,0,,,,,,,,
Megasphaera micronuciformis,,,,0,2,0,0,0,0,0,0
Megasphaera paucivorans,0,1,0,0,2,0,0,0,0,0,0
Megasphaera elsdenii,0,1,0,0,2,0,0,0,0,0,0
Megasphaera cerevisiae,0,1,0,,,,,,,,
Snodgrassella alvi,0,1,0,,,,,,,,
Halonotius pteroides,0,1,0,,,,,,,,
Sporanaerobacter acetigenes,0,0,1,,,,,,,,
Cribrihabitans marinus,1,1,1,,,,,,,,
Knoellia locipacati,0,1,0,,,,,,,,
Knoellia flava,0,1,0,2,0,0,0,0,0,0,0
Knoellia aerolata,0,1,0,,,,,,,,
Knoellia subterranea,0,1,0,2,0,0,0,0,0,0,0
Knoellia sinensis,0,1,0,,,,,,,,
Weissella oryzae,0,1,0,0,0,0,0,0,1,1,0
Weissella cibaria,0,1,0,0,0,0,0,0,0,2,0
Weissella thailandensis,0,1,0,1,1,0,0,0,0,2,0
Weissella koreensis,0,1,0,0,2,0,0,0,0,0,0
Weissella hellenica,1,1,0,,,,,,,,
Weissella paramesenteroides,0,1,0,0,0,0,0,0,1,1,0
Weissella viridescens,0,1,0,,,,,,,,
Weissella minor,0,1,0,,,,,,,,
Weissella kandleri,0,1,0,0,1,0,0,0,0,1,0
Weissella halotolerans,0,1,0,0,1,0,0,0,0,1,0
Weissella confusa,0,1,0,1,0,0,0,0,0,1,0
Oceanospirillum linum,0,1,0,,,,,,,,
Oceanospirillum beijerinckii,0,1,0,,,,,,,,
Propionispira raffinosivorans,0,1,0,,,,,,,,
Peptococcus niger,0,1,0,,,,,,,,
Rubidibacter lacunae,0,1,0,,,,,,,,
Rhodothalassium salexigens,0,1,0,,,,,,,,
Curtobacterium pusillum,0,1,0,,,,,,,,
Curtobacterium luteum,0,1,0,,,,,,,,
Curtobacterium citreum,0,1,0,,,,,,,,
Curtobacterium albidum,0,1,0,,,,,,,,
Asaccharospora irregularis,0,1,0,,,,,,,,
Sediminibacterium ginsengisoli,,,,1,0,0,0,0,1,0,0
Sediminibacterium salmoneum,0,1,0,,,,,,,,
Arcobacter lanthieri,0,1,0,,,,,,,,
Arcobacter lekithochrous,,,,,,,,,,,
Arcobacter lekithochrous,1,1,1,,,,,,,,
Arcobacter anaerophilus,0,1,0,0,3,0,0,0,0,0,0
Arcobacter thereius,0,1,0,1,0,0,0,0,0,2,0
Arcobacter cibarius,1,1,0,0,0,0,0,0,0,2,0
Arcobacter skirrowii,1,1,1,0,0,0,0,0,0,2,1
Arcobacter butzleri,0,1,0,0,0,0,0,0,0,2,0
Arcobacter nitrofigilis,0,1,0,0,0,0,0,0,0,2,0
Arcobacter cryaerophilus,0,1,0,0,0,0,0,0,0,1,1
Fervidicola ferrireducens,0,1,0,0,2,0,0,0,0,0,0
Hallella seregens,0,0,1,0,2,0,0,0,0,0,0
Anaerobranca californiensis,0,0,1,0,2,0,0,0,0,0,0
Anaerobranca gottschalkii,0,0,1,,,,,,,,
Dokdonella koreensis,0,1,0,2,0,0,0,0,0,0,0
Rubripirellula obstinata,0,1,0,,,,,,,,
Siculibacillus lacustris,1,1,1,,,,,,,,
Streptosporangium subroseum,0,1,0,,,,,,,,
Streptosporangium nondiastaticum,0,1,0,,,,,,,,
Streptosporangium roseum,0,1,0,,,,,,,,
Xenophilus azovorans,0,1,0,,,,,,,,
Aquimonas voraii,0,1,0,,,,,,,,
Anoxybacillus vitaminiphilus,0,0,1,,,,,,,,
Anoxybacillus thermarum,0,0,1,,,,,,,,
Anoxybacillus tepidamans,0,0,1,,,,,,,,
Anoxybacillus kamchatkensis,0,0,1,,,,,,,,
Escherichia coli,0,1,1,,,,,,,,
Escherichia marmotae,0,1,0,,,,,,,,
Escherichia fergusonii,0,1,0,,,,,,,,
Bibersteinia trehalosi,,,,0,0,0,0,0,0,2,0
Oerskovia enterophila,0,1,0,,,,,,,,
Oerskovia turbata,0,1,0,,,,,,,,
Morganella psychrotolerans,0,1,0,,,,,,,,
Streptomonospora alba,0,1,0,,,,,,,,
Stenoxybacter acetivorans,0,1,0,,,,,,,,
Stomatobaculum longum,,,,0,2,0,0,0,0,0,0
Olleya namhaensis,0,1,0,3,0,0,0,0,0,0,0
Olleya marilimosa,0,1,0,,,,,,,,
Salinicola tamaricis,1,0,0,2,0,0,0,0,0,0,0
Salinicola socius,1,1,1,,,,,,,,
Salinicola salarius,1,1,1,2,0,0,0,0,0,0,0
Caulobacter flavus,0,1,0,,,,,,,,
Caulobacter mirabilis,0,1,0,,,,,,,,
Caulobacter vibrioides,0,1,0,,,,,,,,
Caulobacter henricii,0,1,0,,,,,,,,
